% COMP30120 2015 - Assignment 1
% Dataset restaurant for student ID number 14210231
@relation restaurant-14210231

@attribute restaurant_id numeric
@attribute ave_helpfulness_user numeric
@attribute stdev_helpfulness_user numeric
@attribute reviews_exceed_min_helpfulness numeric
@attribute num_reviews_user numeric
@attribute num_reviews_restaurant numeric
@attribute rating_user numeric
@attribute number_submitted_by_user numeric
@attribute sub_rating_mean_user numeric
@attribute sub_rating_std_user numeric
@attribute ave_rating_user numeric
@attribute stdev_rating_user numeric
@attribute ave_rating_restaurant numeric
@attribute stdev_rating_restaurant numeric
@attribute completeness_1 numeric
@attribute completeness_2 numeric
@attribute completeness_3 numeric
@attribute number_words numeric
@attribute percentage_alpha numeric
@attribute fraction_upper_case numeric
@attribute fraction_you_vs_i numeric
@attribute fraction_quoted_words numeric
@attribute percentage_quoted_alpha_chars numeric
@attribute fraction_quoted_upper_case numeric
@attribute class {helpful,unhelpful}

@data
5459,0.819444,0.355854,0.285714,14,9,4,4,4.25,0.5,3.928571,0.615728,3.444444,1.013794,2,0,1,22,0.756477,0.027397,0,8,0.816327,0.15,helpful
6625,0.32,0.470865,0.066667,15,713,5,7,5,0,3.466667,1.505545,4.319776,1.035257,5,2,4,51,0.782135,0.033426,0,3,0.884615,0.130435,helpful
8928,0.757395,0.404818,0.352941,34,149,4,0,0,0,3.676471,0.878035,3.744966,1.163373,0,0,0,66,0.7856,0.028513,0.5,3,0.875,0.071429,helpful
4125,0.854658,0.205471,0.666667,39,12,4,4,4.25,0.5,3.897436,0.994587,3.833333,1.267304,2,0,1,372,0.787691,0.042617,0.090909,9,0.835821,0.160714,helpful
6473,0.752811,0.366967,0.416667,12,185,3,4,3,0.816497,3.833333,0.937437,3.232432,1.134933,2,0,1,238,0.784594,0.028219,0.090909,3,0.777778,0.047619,unhelpful
7651,0.771098,0.317646,0.333333,84,117,3,4,3,1.154701,3.464286,1.216814,3.188034,1.413797,2,0,1,70,0.78,0.051282,0.285714,6,0.794872,0.064516,helpful
7276,0.641131,0.382019,0.428571,63,346,4,4,3.5,0.57735,3.68254,0.930234,3.650289,1.122478,2,0,1,184,0.796233,0.024373,0.428571,3,0.882353,0.066667,helpful
8192,0.485899,0.476795,0.170732,41,56,2,4,2.25,1.258306,3.439024,1.205172,3.285714,1.17108,2,0,1,127,0.780031,0.029,0,2,0.65,0.153846,helpful
4905,0.889169,0.118876,0.75,12,30,1,4,1,0,3.666667,1.435481,3.3,1.022168,2,0,0,92,0.778182,0.054517,0,1,0.714286,0.1,helpful
2639,0.901313,0.13138,0.714286,14,139,4,6,4.333333,0.516398,3.571429,0.937614,4.597122,0.729497,5,2,2,102,0.789416,0.011173,1,2,0.9,0.222222,helpful
3862,0.629464,0.082075,1,2,160,4,0,0,0,2.5,2.12132,2.9375,1.311236,0,0,0,0,0,0,0,2,0.833333,0.133333,unhelpful
2546,0.693478,0.445367,0.26087,23,446,5,6,4.833333,0.408248,3.913043,0.900154,4.026906,1.204558,5,2,3,258,0.796273,0.035638,0.25,6,0.866667,0.153846,helpful
6363,0.796346,0.194843,0.72,25,8,5,0,0,0,4.16,1.067708,4.125,1.356203,0,0,0,52,0.767654,0.023739,0.666667,2,0.888889,0.1875,helpful
1190,0.814815,0.400103,0.5,6,206,3,6,2.666667,0.516398,3.166667,1.169045,3.412621,1.241414,5,0,4,817,0.771521,0.032982,0.729167,3,0.78125,0.04,helpful
1705,0.505952,0.486168,0.428571,7,114,4,4,3.75,0.5,4.142857,0.377964,3.850877,0.904585,2,0,1,0,0,0,0,2,0.928571,0,helpful
3191,1,0,0.5,4,297,5,4,5,0,4.25,0.957427,4.387205,0.822963,2,0,1,103,0.777207,0.025099,1,1,0.916667,0.090909,helpful
8581,0.430049,0.382219,1,7,9,3,7,3.285714,0.48795,3.428571,1.272418,3.444444,1.509231,5,2,2,266,0.767944,0.03039,0.142857,4,0.84,0.047619,unhelpful
